Genus,Count,Figure,,Genus,Count,Figure,,Genus,Count,Figure
Bacillus,24,,,Aliivibrio,2,,,Lacinutrix,1,
Pseudoalteromonas,18,,,Bowmanella,2,,,Limimaricola,1,
Idiomarina,17,,,Feifantangia,2,,,Marivivens,1,
Vibrio,14,,,Leisingera,2,,,Mesobacillus,1,
Halomonas,11,,,Marinobacter,2,,,Mycolicibacterium,1,
Ruegeria,10,,,Photobacterium,2,,,Nocardioides,1,
Saccharomyces,9,,,Rhodococcus,2,,,Novosphingobium,1,
Pseudomonas,8,,,Salegentibacter,2,,,Oceanobacillus,1,
Salinicola,8,,,Stappia,2,,,Paenibacillus,1,
Staphylococcus,8,,,Thalassobacillus,2,,,Paenisporosarcina,1,
Paracoccus,6,,,Thalassospira,2,,,Paraglaciecola,1,
Qipengyuania,6,,,Yoonia,2,,,Pelagicola,1,
Shewanella,6,,,Acinetobacter,1,,,Peribacillus,1,
Alkalihalobacillus,5,,,Aequorivita,1,,,Phaeobacter,1,
Brachybacterium,5,,,Arenicella,1,,,Planococcus,1,
Labrenzia,5,,,Bizionia,1,,,Pseudidiomarina,1,
Algoriphagus,4,,,Brevibacterium,1,,,Pseudorhodobacter,1,
Aquimarina,4,,,Castellaniella,1,,,Pseudovibrio,1,
Chromohalobacter,4,,,Clavibacter,1,,,Psychrobacter,1,
Francisella,4,,,Cobetia,1,,,Rheinheimera,1,
Loktanella,4,,,Corynebacterium,1,,,Roseivirga,1,
Micrococcus,4,,,Cystofilobasidium,1,,,Salinisphaera,1,
Neptunomonas,4,,,Dietzia,1,,,Serratia,1,
Alcanivorax,3,,,Exiguobacterium,1,,,Sporosarcina,1,
Arenibacter,3,,,Fictibacillus,1,,,Sufflavibacter,1,
Janibacter,3,,,Flaviramulus,1,,,Tenacibaculum,1,
Nesterenkonia,3,,,Gordonia,1,,,Vicingus,1,
Parasphingorhabdus,3,,,Hoeflea,1,,,Zobellia,1,
