genus,trees,long,short,count
Acinetobacter,1,1,0,1
Aequorivita,1,1,0,1
Alcanivorax,1,1,0,3
Algoriphagus,2,1,1,4
Aliivibrio,1,1,0,2
Alkalihalobacillus,2,1,1,5
Aquimarina,1,1,0,4
Arenibacter,1,1,0,3
Arenicella,1,1,0,1
Bacillus,6,5,1,24
Bizionia,1,1,0,1
Bowmanella,1,1,0,2
Brachybacterium,2,1,1,5
Brevibacterium,1,1,0,1
Castellaniella,1,1,0,1
Chromohalobacter,2,1,1,4
Clavibacter,1,1,0,1
Cobetia,1,1,0,1
Corynebacterium,1,1,0,1
Cystofilobasidium,1,1,0,1
Dietzia,1,1,0,1
Exiguobacterium,1,1,0,1
Feifantangia,1,1,0,2
Fictibacillus,1,1,0,1
Flaviramulus,1,1,0,1
Francisella,1,1,0,4
Gordonia,1,1,0,1
Halomonas,3,2,1,11
Hoeflea,1,1,0,1
Idiomarina,2,1,1,17
Janibacter,1,1,0,3
Labrenzia,2,1,1,5
Lacinutrix,1,1,0,1
Leisingera,2,1,1,2
Limimaricola,1,1,0,1
Loktanella,1,1,0,4
Marinobacter,1,1,0,2
Marivivens,1,1,0,1
Mesobacillus,1,1,0,1
Micrococcus,1,1,0,4
Mycolicibacterium,1,1,0,1
Neptunomonas,1,1,0,4
Nesterenkonia,1,1,0,3
Nocardioides,1,1,0,1
Novosphingobium,1,1,0,1
Oceanobacillus,1,1,0,1
Paenibacillus,1,1,0,1
Paenisporosarcina,1,1,0,1
Paracoccus,2,2,0,6
Paraglaciecola,1,1,0,1
Parasphingorhabdus,1,1,0,3
Pelagicola,1,1,0,1
Peribacillus,1,1,0,1
Phaeobacter,1,1,0,1
Photobacterium,2,1,1,2
Planococcus,1,1,0,1
Pseudidiomarina,1,1,0,1
Pseudoalteromonas,3,2,1,18
Pseudomonas,1,1,0,8
Pseudorhodobacter,1,1,0,1
Pseudovibrio,1,1,0,1
Psychrobacter,1,1,0,1
Qipengyuania,2,1,1,6
Rheinheimera,1,1,0,1
Rhodococcus,1,1,0,2
Roseivirga,1,1,0,1
Ruegeria,1,1,0,10
Saccharomyces,2,1,1,9
Salegentibacter,1,1,0,2
Salinicola,2,1,1,8
Salinisphaera,1,1,0,1
Serratia,1,1,0,1
Shewanella,2,2,0,6
Sporosarcina,1,1,0,1
Staphylococcus,2,2,0,8
Stappia,1,1,0,2
Sufflavibacter,1,1,0,1
Tenacibaculum,1,1,0,1
Thalassobacillus,1,1,0,2
Thalassospira,1,1,0,2
Vibrio,2,1,1,14
Vicingus,1,1,0,1
Yoonia,1,1,0,2
Zobellia,1,1,0,1
