Name,Kingdom,Species,%identity,%cover,Length,Matches Percentage
AQP 4981,Bacteria,Acinetobacter johnsonii,99.00%,100.00%,702,"Acinetobacter johnsonii 99.00%
Acinetobacter bouvetii 97.87%
Acinetobacter junii 97.44%
Acinetobacter haemolyticus 97.44%
Acinetobacter schindleri 97.44%
Acinetobacter vivianii 97.83%
Acinetobacter proteolyticus 97.30%
Acinetobacter courvalinii 97.83%
Acinetobacter gyllenbergii 97.30%
Acinetobacter tandoii 97.16%
Acinetobacter chinensis 97.02%
Acinetobacter modestus 97.02%
Acinetobacter tjernbergiae 96.87%
Acinetobacter beijerinckii 97.01%
Acinetobacter parvus 96.59%
Acinetobacter piscicola 96.44%
Acinetobacter dispersus 96.31%
Acinetobacter baumannii 96.31%
Acinetobacter calcoaceticus 96.82%
Acinetobacter equi 96.30%"
AQP 9472,Bacteria,Aequorivita nionensis,98.06%,98.92%,834,"Aequorivita nionensis 98.06%
Aequorivita soesokkakensis 96.75%
Aequorivita lutea 96.27%
Aequorivita lipolytica 96.29%
Aequorivita antarctica 96.28%
Aequorivita sublithincola 96.15%
Aequorivita crocea 95.56%"
AQP 9573,Bacteria,Alcanivorax venustensis,99.50%,100.00%,801,"Alcanivorax venustensis ISO4 99.50%
Alcanivorax marinus 95.52%
Alcanivorax gelatiniphagus 95.27%
Alcanivorax jadensis T9 95.01%
Alcanivorax xenomutans 94.63%"
AQP 9599,Bacteria,Alcanivorax venustensis,99.87%,100.00%,778,"Alcanivorax venustensis ISO4 99.87%
Alcanivorax marinus 96.02%
Alcanivorax jadensis T9 95.89%
Alcanivorax gelatiniphagus 95.76%
Alcanivorax borkumensis SK2 95.12%"
AQP 9620,Bacteria,Alcanivorax venustensis,100.00%,100.00%,838,"Alcanivorax venustensis ISO4 100.00%
Alcanivorax marinus 95.94%
Alcanivorax gelatiniphagus 95.70%
Alcanivorax dieselolei 95.23%
Alcanivorax jadensis T9 95.23%"
AQP 4189,Bacteria,Algoriphagus aquimarinus,99.63%,100.00%,814,"Algoriphagus aquimarinus 99.63%
Algoriphagus ratkowskyi 98.77%
Algoriphagus antarcticus 98.53%
Algoriphagus yeomjeoni 97.92%
Algoriphagus chordae 97.68%
Algoriphagus lutimaris 97.54%
Algoriphagus halophilus 97.42%
Algoriphagus iocasae 98.47%
Algoriphagus winogradskyi 97.06%
Algoriphagus aestuarii 96.93%
Algoriphagus locisalis 96.58%
Algoriphagus chungangensis 97.58%
Algoriphagus resistens 96.32%
Algoriphagus aquaemixtae 96.94%
Algoriphagus machipongonensis 96.44%
Algoriphagus marinus 96.19%
Algoriphagus litorisediminis 95.81%
Algoriphagus litoralis 95.80%"
AQP 9396,Bacteria,Algoriphagus yeomjeoni,97.33%,100.00%,261,"Algoriphagus machipongonensis 93.54%
Algoriphagus winogradskyi 93.16%
Algoriphagus yeomjeoni 97.33%
Algoriphagus chungangensis 93.18%
Algoriphagus litorisediminis 92.75%"
AQP 9480,Bacteria,"Algoriphagus machipongonensis 98.46%
Algoriphagus chungangensis 98.34%",98.46%,100.00%,782,"Algoriphagus machipongonensis 98.46%
Algoriphagus chungangensis 98.34%
Algoriphagus aestuarii 97.43%
Algoriphagus lutimaris 97.30%
Algoriphagus litorisediminis 96.93%
Algoriphagus halophilus 97.04%
Algoriphagus iocasae 98.12%
Algoriphagus antarcticus 97.86%
Algoriphagus ratkowskyi 97.72%
Algoriphagus resistens 95.93%
Algoriphagus aquimarinus 95.92%
Algoriphagus litoralis 96.63%
Algoriphagus chordae 95.03%
Algoriphagus zhangzhouensis 95.00%
Algoriphagus yeomjeoni 96.23%
Algoriphagus boritolerans 96.34%"
AQP 9409,Bacteria,"Algoriphagus winogradskyi 99.02%
Algoriphagus yeomjeoni 98.78%",99.02%,100.00%,819,"Algoriphagus winogradskyi 99.02%
Algoriphagus yeomjeoni 98.78%
Algoriphagus chordae 98.66%
Algoriphagus locisalis 97.81%
Algoriphagus aquimarinus 97.69%
Algoriphagus ratkowskyi 97.32%
Algoriphagus antarcticus 97.08%
Algoriphagus halophilus 97.09%
Algoriphagus aestuarii 96.71%
Algoriphagus resistens 96.59%
Algoriphagus lutimaris 96.48%
Algoriphagus iocasae 96.00%
Algoriphagus chungangensis 96.22%"
AQP 4821,Bacteria,Aliivibrio sifiae,99.75%,99.25%,798,"Aliivibrio sifiae 99.75%
Aliivibrio wodanis 98.87%
Aliivibrio logei 98.37%
Aliivibrio salmonicida 98.49%
Aliivibrio finisterrensis 98.00%
Aliivibrio fischeri 97.76%
Photobacterium frigidiphilum 95.86%
Photobacterium lipolyticum 95.36%
Vibrio kanaloae 96.56%
Vibrio lentus 96.56%"
